Tank Farm,Line,Event Type,Event Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH
ATJ,02,BATCHSTART,9/27/2023 1:45:14 AM,MAC-62-521,,,129000,129000,12167
ATJ,02,BATCHSTOP,9/27/2023 12:21:23 PM,MAC-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/27/2023 12:21:23 PM,MFD-62-521,,,5000,5000,12167
ATJ,02,BATCHSTOP,9/27/2023 12:46:02 PM,MFD-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/27/2023 12:46:02 PM,MGC-62-521,,,5000,5000,12167
ATJ,02,BATCHSTOP,9/27/2023 1:10:41 PM,MGC-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/27/2023 1:10:41 PM,MOB-62-521,,,12500,12500,12167
ATJ,02,BATCHSTOP,9/27/2023 2:12:20 PM,MOB-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/27/2023 2:12:20 PM,MTV-62-521,,,75000,75000,12167
ATJ,02,BATCHSTOP,9/27/2023 8:22:11 PM,MTV-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/27/2023 8:22:11 PM,MUC-62-522,,,27000,27000,12167
ATJ,02,BATCHSTOP,9/27/2023 10:35:20 PM,MUC-62-522,,,0,0,0
ATJ,02,BATCHSTART,9/27/2023 10:35:20 PM,MUS-62-52A,,,35000,35000,12167
ATJ,02,BATCHSTOP,9/28/2023 1:27:56 AM,MUS-62-52A,,,0,0,0
ATJ,02,BATCHSTART,9/28/2023 1:27:56 AM,MXE-62-522,,,2500,2500,12167
ATJ,02,BATCHSTOP,9/28/2023 1:40:15 AM,MXE-62-522,,,0,0,0
ATJ,02,BATCHSTART,9/28/2023 1:40:15 AM,MXE-62-521,,,21000,21000,12167
ATJ,02,BATCHSTOP,9/28/2023 3:23:49 AM,MXE-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/28/2023 3:23:49 AM,PHI-62-521,,,44500,44500,12167
ATJ,02,BATCHSTOP,9/28/2023 7:03:16 AM,PHI-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/28/2023 7:03:16 AM,PTC-62-521,,,12500,12500,12167
ATJ,02,BATCHSTOP,9/28/2023 8:04:54 AM,PTC-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/28/2023 8:04:54 AM,QTC-62-521,,,40000,40000,12167
ATJ,02,BATCHSTOP,9/28/2023 11:22:10 AM,QTC-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/28/2023 11:22:10 AM,RKO-62-521,,,30000,30000,12167
ATJ,02,BATCHSTOP,9/28/2023 1:50:06 PM,RKO-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/28/2023 1:50:06 PM,SBP-62-521,,,15000,15000,12167
ATJ,02,BATCHSTOP,9/28/2023 3:04:04 PM,SBP-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/28/2023 3:04:04 PM,SBS-62-521,,,25000,25000,12167
ATJ,02,BATCHSTOP,9/28/2023 5:07:21 PM,SBS-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/28/2023 5:07:21 PM,SUN-62-521,,,22000,22000,12167
ATJ,02,BATCHSTOP,9/28/2023 6:55:51 PM,SUN-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/28/2023 6:55:51 PM,SVE-62-521,,,10000,10000,12167
ATJ,02,BATCHSTOP,9/28/2023 7:45:10 PM,SVE-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/28/2023 7:45:10 PM,TAR-62-521,,,181500,181500,12167
ATJ,02,BATCHSTOP,9/29/2023 10:40:12 AM,TAR-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/29/2023 10:40:12 AM,UET-62-521,,,5000,5000,12167
ATJ,02,BATCHSTOP,9/29/2023 11:04:52 AM,UET-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/29/2023 11:04:52 AM,VAL-62-52D,,,53000,53000,12167
ATJ,02,BATCHSTOP,9/29/2023 3:26:13 PM,VAL-62-52D,,,0,0,0
ATJ,02,BATCHSTART,9/29/2023 3:26:13 PM,VTL-62-521,,,20000,20000,12167
ATJ,02,BATCHSTOP,9/29/2023 5:04:51 PM,VTL-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/29/2023 5:04:51 PM,WAC-62-522,,,5000,5000,12167
ATJ,02,BATCHSTOP,9/29/2023 5:29:30 PM,WAC-62-522,,,0,0,0
ATJ,02,BATCHSTART,9/29/2023 5:29:30 PM,WFS-62-52P,,,2500,2500,12167
ATJ,02,BATCHSTOP,9/29/2023 5:41:50 PM,WFS-62-52P,,,0,0,0
ATJ,02,BATCHSTART,9/29/2023 5:41:50 PM,WFS-62-521,,,5000,5000,12167
ATJ,02,BATCHSTOP,9/29/2023 6:06:30 PM,WFS-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/29/2023 6:06:30 PM,PCA-62-520,,,12000,12000,12167
ATJ,02,BATCHSTOP,9/29/2023 7:05:40 PM,PCA-62-520,,,0,0,0
ATJ,02,BATCHSTART,9/29/2023 7:05:40 PM,CHV-62-521,,,10000,10000,12167
ATJ,02,BATCHSTOP,9/29/2023 7:54:59 PM,CHV-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/29/2023 7:54:59 PM,CUM-62-521,,,5000,5000,12167
ATJ,02,BATCHSTOP,9/29/2023 8:19:38 PM,CUM-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/29/2023 8:19:38 PM,USO-62-521,,,10000,10000,12167
ATJ,02,BATCHSTOP,9/29/2023 9:08:57 PM,USO-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/29/2023 9:08:57 PM,CYG-62-521,,,14965,15000,12167
