,Tank Farm,Line,Event Type,Event Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH,SuperBatch
164,ATJ,02,BATCHSTOP,9/28/2023 3:04:04 PM,SBP-62-521,,,0,0,0,JA1-62-521
165,ATJ,02,BATCHSTART,9/28/2023 3:04:04 PM,SBS-62-521,,,25000,25000,12167,JA1-62-521
166,ATJ,02,BATCHSTOP,9/28/2023 5:07:21 PM,SBS-62-521,,,0,0,0,JA1-62-521
167,ATJ,02,BATCHSTART,9/28/2023 5:07:21 PM,SUN-62-521,,,22000,22000,12167,JA1-62-521
168,ATJ,02,BATCHSTOP,9/28/2023 6:55:51 PM,SUN-62-521,,,0,0,0,JA1-62-521
169,ATJ,02,BATCHSTART,9/28/2023 6:55:51 PM,SVE-62-521,,,10000,10000,12167,JA1-62-521
170,ATJ,02,BATCHSTOP,9/28/2023 7:45:10 PM,SVE-62-521,,,0,0,0,JA1-62-521
171,ATJ,02,BATCHSTART,9/28/2023 7:45:10 PM,TAR-62-521,,,181500,181500,12167,JA1-62-521
172,ATJ,02,BATCHSTOP,9/29/2023 10:40:12 AM,TAR-62-521,,,0,0,0,JA1-62-521
173,ATJ,02,BATCHSTART,9/29/2023 10:40:12 AM,UET-62-521,,,5000,5000,12167,JA1-62-521
174,ATJ,02,BATCHSTOP,9/29/2023 11:04:52 AM,UET-62-521,,,0,0,0,JA1-62-521
175,ATJ,02,BATCHSTART,9/29/2023 11:04:52 AM,VAL-62-52D,,,53000,53000,12167,JA1-62-521
176,ATJ,02,BATCHSTOP,9/29/2023 3:26:13 PM,VAL-62-52D,,,0,0,0,JA1-62-521
177,ATJ,02,BATCHSTART,9/29/2023 3:26:13 PM,VTL-62-521,,,20000,20000,12167,JA1-62-521
178,ATJ,02,BATCHSTOP,9/29/2023 5:04:51 PM,VTL-62-521,,,0,0,0,JA1-62-521
179,ATJ,02,BATCHSTART,9/29/2023 5:04:51 PM,WAC-62-522,,,5000,5000,12167,JA1-62-521
180,ATJ,02,BATCHSTOP,9/29/2023 5:29:30 PM,WAC-62-522,,,0,0,0,JA1-62-521
181,ATJ,02,BATCHSTART,9/29/2023 5:29:30 PM,WFS-62-52P,,,2500,2500,12167,JA1-62-521
182,ATJ,02,BATCHSTOP,9/29/2023 5:41:50 PM,WFS-62-52P,,,0,0,0,JA1-62-521
183,ATJ,02,BATCHSTART,9/29/2023 5:41:50 PM,WFS-62-521,,,5000,5000,12167,JA1-62-521
184,ATJ,02,BATCHSTOP,9/29/2023 6:06:30 PM,WFS-62-521,,,0,0,0,JA1-62-521
