Code,Start Date/Time,End Date/Time,S/C,Tnk,Line,Volume,Tank,Product Grade,BTank,Volume_Tank,Rate,Operation Code - Comment,file,Start,End,Identifier,OJKLation Code - Comment,OGHIation Code - Comment,Client,Product,Cycle,Type,Time_difference,Time_in_hours,Vol_per_Hr,Exclude,Pick,Rank
DEF-A4-03A,2023-01-22 10:15:00,2023-01-22 11:07:00,DEF,ABC,1A,2.5,317,A4,317,22.587,2.9,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-22 10:15:00,2023-01-22 11:07:00,DEF-A4-03A//2023-01-22 10:15:00//2023-01-22 11:07:00//1A,,,DEF,A,031,Out,0 days 00:52:00,0.8666666666666667,2.8846153846153846,0,1.0,3
GHI-A4-035,2023-01-22 11:07:00,2023-01-22 19:44:00,ABC,ABC,1A,25.0,317,A4,317,39.351,2.9,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-22 11:07:00,2023-01-22 19:44:00,GHI-A4-035//2023-01-22 11:07:00//2023-01-22 19:44:00//1A,,,GHI,A,031,Out,0 days 08:37:00,8.616666666666667,2.9013539651837523,0,1.0,4
JKL-A4-031,2023-01-22 19:44:00,2023-01-23 02:38:00,ABC,ABC,1A,20.0,317,A4,317,117.364,2.9,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-22 19:44:00,2023-01-23 02:38:00,JKL-A4-031//2023-01-22 19:44:00//2023-01-23 02:38:00//1A,,,JKL,A,031,Out,0 days 06:54:00,6.9,2.898550724637681,0,1.0,5
ABC-A4-032,2023-01-23 02:38:00,2023-01-27 07:30:00,ABC,ABC,1A,4.5,317,A4,317,72.192,2.9,Empty to Scheduled Volume and Shutdown,ATJ.2023.01.18.xlsx,2023-01-23 02:38:00,2023-01-27 07:30:00,ABC-A4-032//2023-01-23 02:38:00//2023-01-27 07:30:00//1A,,,ABC,A,031,Out,4 days 04:52:00,100.86666666666666,0.04461335095836087,0,1.0,6
ABC-D4-031,2023-01-27 07:30:00,2023-01-27 10:36:00,ABC,ABC,1A,9.0,337,D4,337,36.096,2.9,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-27 07:30:00,2023-01-27 10:36:00,ABC-D4-031//2023-01-27 07:30:00//2023-01-27 10:36:00//1A,,,ABC,D,031,Out,0 days 03:06:00,3.1,2.903225806451613,0,1.0,3
DEF-62-03A,2023-01-27 07:30:00,2023-01-27 08:22:00,DEF,ABC,2A,2.5,371,62,371,33.435,2.85,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-27 07:30:00,2023-01-27 08:22:00,DEF-62-03A//2023-01-27 07:30:00//2023-01-27 08:22:00//2A,,,DEF,62,031,Out,0 days 00:52:00,0.8666666666666667,2.8846153846153846,0,1.0,2
ABC-62-031,2023-01-27 08:22:00,2023-01-27 11:53:00,ABC,ABC,2A,10.0,371,62,371,39.707,2.85,Empty to Scheduled Volume and Shutdown,ATJ.2023.01.18.xlsx,2023-01-27 08:22:00,2023-01-27 11:53:00,ABC-62-031//2023-01-27 08:22:00//2023-01-27 11:53:00//2A,,,ABC,62,031,Out,0 days 03:31:00,3.5166666666666666,2.843601895734597,0,1.0,3
JA1-A4-041,2023-01-26 23:44:00,2023-01-27 02:10:00,,,01,58.735,331,A4,332,50.877,24.0,Fill to Normal Fill and Switch,ATJ.2023.01.25.xlsx,2023-01-26 23:44:00,2023-01-27 02:10:00,JA1-A4-041//2023-01-26 23:44:00//2023-01-27 02:10:00//1,,,JA1,A,041,In,0 days 02:26:00,2.433333333333333,24.137671232876713,0,1.0,1
JA1-A4-041,2023-01-27 02:10:00,2023-01-27 06:32:00,,,01,104.486,332,A4,330,4.708,24.0,Fill to Normal Fill and Switch,ATJ.2023.01.25.xlsx,2023-01-27 02:10:00,2023-01-27 06:32:00,JA1-A4-041//2023-01-27 02:10:00//2023-01-27 06:32:00//1,,,JA1,A,041,In,0 days 04:22:00,4.366666666666666,23.92809160305344,0,1.0,1
JA1-A4-041,2023-01-27 06:32:00,2023-01-27 11:35:00,,,01,117.672,330,A4,317,27.403,24.0,Fill to Normal Fill and Switch,ATJ.2023.01.25.xlsx,2023-01-27 06:32:00,2023-01-27 11:35:00,JA1-A4-041//2023-01-27 06:32:00//2023-01-27 11:35:00//1,,,JA1,A,041,In,0 days 05:03:00,5.05,23.30138613861386,0,1.0,1
